course_id,sum,count,weighted
95.0,269.5,100,154.86267836805789
9.0,270.0,93,150.41878865380147
73.0,261.0,97,148.09881650084048
11.0,252.5,100,145.16211339630647
36.0,253.5,99,145.1204208587855
17.0,254.0,97,144.1562877652083
31.0,250.5,98,142.8039661208357
78.0,240.5,96,135.95198885055632
81.0,237.0,96,133.98956110489158
27.0,232.0,97,131.76548316750714
91.0,228.0,100,131.1818874076059
90.0,232.0,95,130.59996552992004
18.0,228.5,90,125.65685072542661
51.0,222.0,93,123.87761218321322
88.0,234.0,80,121.94391128118627
32.0,213.0,89,116.63369922377255
33.0,216.5,84,115.4887830505978
59.0,216.0,81,113.31135488067244
34.0,216.0,81,113.31135488067244
42.0,211.0,85,113.19255599472991
82.0,214.0,82,112.9131702587814
26.0,207.5,83,110.13246294466403
79.0,199.5,77,102.28697448796262
38.0,193.5,81,101.63413969079902
74.0,180.5,82,95.4257488751336
